Sample Name,Variety,Section,Rep,Celignis.Rep,Total_Sugars,Glucan,Xylan,Mannan,Arabinan,Galactan,Rhamnan,Klason_Lignin,AS_Lignin,Extractives,Ash
Sugargraze-Leaf-1,Sugargraze,Leaf,1,1,47.3,26.4,16.54,0.19,3,1.01,0.16,10.65,5.09,13.88,9.89
Sugargraze-Leaf-2,Sugargraze,Leaf,1,2,46.9,26.06,16.39,0.2,3.05,1.03,0.17,10.84,5.35,13.17,10
Sugargraze-Sheath-1,Sugargraze,Sheath,1,1,58.1,33.77,19.2,0.24,3.58,1.14,0.16,10.92,2.45,7.19,9.14
Sugargraze-Sheath-2,Sugargraze,Sheath,1,2,57.72,33.6,18.86,0.25,3.64,1.18,0.2,10.85,2.34,7.22,8.9
Sugargraze-Stem-1,Sugargraze,Stem,1,1,62.26,37.22,21.86,0.41,1.87,0.8,0.12,10.98,2.79,9.05,3.88
Sugargraze-Stem-2,Sugargraze,Stem,1,2,61.9,37.11,21.24,0.46,2.08,0.87,0.14,10.79,2.95,9.3,3.91
Yemen-Leaf-1,Yemen,Leaf,1,1,54.07,30.75,18.03,0.21,3.76,1.14,0.18,11.05,3.8,7.96,6.42
Yemen-Leaf-2,Yemen,Leaf,1,2,54.83,31.18,18.19,0.23,3.86,1.18,0.19,10.48,3.73,7.99,6.31
Yemen-Sheath-1,Yemen,Sheath,1,1,65.26,38.91,20.55,0.3,4.06,1.25,0.2,11.37,2.89,3.39,5.43
Yemen-Sheath-2,Yemen,Sheath,1,2,65.27,38.77,20.59,0.32,4.13,1.25,0.21,11.1,3.19,3.48,5.74
Yemen-Stem-1,Yemen,Stem,1,1,56.81,32.48,18.87,0.21,3.89,1.17,0.19,10.66,4.66,7.87,7.81
Yemen-Stem-2,Yemen,Stem,1,2,56.87,32.52,18.66,0.22,4.06,1.23,0.19,10.72,4.87,7.92,8.06
GreenleafBMR-Leaf-1,GreenleafBMR,Leaf,1,1,52.68,27.96,20.08,0.25,3.19,1.03,0.16,14.22,4.98,6.13,8.57
GreenleafBMR-Leaf-2,GreenleafBMR,Leaf,1,2,52.42,27.82,20.03,0.25,3.16,1.01,0.15,14.06,4.83,6.15,8.41
GreenleafBMR-Sheath-1,GreenleafBMR,Sheath,1,1,57.58,33.24,20.26,0.29,2.65,1.01,0.13,11.63,3.27,5.38,10.4
GreenleafBMR-Sheath-2,GreenleafBMR,Sheath,1,2,57.64,33.12,20.43,0.27,2.66,1.01,0.14,11.86,3.33,5.69,10.74
GreenleafBMR-Stem-1,GreenleafBMR,Stem,1,1,56.36,32.87,20.48,0.2,1.93,0.76,0.13,11.83,2.14,14.94,5.68
GreenleafBMR-Stem-2,GreenleafBMR,Stem,1,2,56.77,33.11,20.54,0.22,1.98,0.79,0.14,11.32,2.16,15.32,5.53
Graingrass-Leaf-1,Graingrass,Leaf,1,1,31.14,17.73,10.28,0.18,2.06,0.77,0.13,9.15,6.57,24.47,14.04
Graingrass-Leaf-2,Graingrass,Leaf,1,2,30.63,17.41,10.05,0.18,2.08,0.78,0.13,9.44,6.82,23.14,14.27
Graingrass-Sheath-1,Graingrass,Sheath,1,1,60.46,36.95,19.99,0.16,2.5,0.73,0.13,12.87,2.92,4.06,8.14
Graingrass-Sheath-2,Graingrass,Sheath,1,2,59.75,36.45,19.74,0.18,2.52,0.73,0.14,13.24,3.02,4.41,7.86
Graingrass-Stem-1,Graingrass,Stem,1,1,62.57,38.09,21.91,0.15,1.74,0.57,0.11,15.87,2.24,6.2,3.92
Graingrass-Stem-2,Graingrass,Stem,1,2,62.63,38.18,21.87,0.17,1.73,0.57,0.11,16.1,2.13,6.23,3.9
