Variety,Section,Step,Onset,Peak1,Peak2,Residue
Sugargraze,Leaf,-5.7553,239.43,282.78,346.23,31.4919
Sugargraze,Sheath,-5.6,236.77,278.56,344.91,29.9663
Sugargraze,Stem(<1m),-2.98,158.69,204.91,320.97,32.9176
Sugargraze,Stem(>1m),-2.9,154.43,199.98,331.5,28.5354
Yemen,Leaf,-5.45,253.43,287.28,346.63,28.854
Yemen,Sheath,-5.59,242.89,285.16,344.93,27.7861
Yemen,Stem(<1m),-4.03,230.46,276.5,325.67,30.3988
Yemen,Stem(>1m),-3.76,158.2,204.66,323.38,31.3837
GreenleafBMR,Leaf,-4.45,249.24,285.98,347.8,32.5359
GreenleafBMR,Sheath,-4.38,240.48,280.36,344.32,34.5394
GreenleafBMR,Stem,-3.37,141.37,183.03,326.86,33.2796
Graingrass,Leaf,-4.83,244.96,288.54,345.1,36.5705
Graingrass,Sheath,-4.93,241.95,286.34,346.08,33.5961
Graingrass,Stem,-4.35,236.07,279.96,343.88,30.6257
