Variety,Section,CrI,I_200,I_amp
Sugargraze,Leaf,52.67436026,99.65,47.16
Sugargraze,Sheath,61.43724696,98.8,38.1
Sugargraze,Stem(<1m),58.96656535,98.7,40.5
Sugargraze,Stem(>1m),54.86815416,98.6,44.5
Yemen,Leaf,46.84920475,99.34,52.8
Yemen,Sheath,57.51962956,99.34,42.2
Yemen,Stem(<1m),61.97183099,99.4,37.8
Yemen,Stem(>1m),55.81395349,98.9,43.7
GreenleafBMR,Leaf,44.11764706,98.6,55.1
GreenleafBMR,Sheath,59.23935091,98.6,40.19
GreenleafBMR,Stem,60.42944785,97.8,38.7
Graingrass,Leaf,39.86788618,98.4,59.17
Graingrass,Sheath,59.28064843,98.7,40.19
Graingrass,Stem,59.06788247,98.7,40.4
