variety,plant,tiller,gross_mass,stem<1m,stem>1m,sheath,leaf,tip,grain
Sugargraze,1,1,810,280,290,69,93,26,31
Sugargraze,1,2,843,311,307,85,112,21,30
Sugargraze,1,3,430,167,69,43,74,9,18
Sugargraze,2,1,428,185,100,36,57,13,21
Sugargraze,2,2,1252,430,397,86,161,33,56
Sugargraze,2,3,680,250,199,65,85,27,32
Sugargraze,3,1,550,186,144,51,82,21,29
Sugargraze,3,2,973,371,305,67,116,34,47
Sugargraze,3,3,580,234,162,57,96,32,34
Sugargraze,4,1,1077,388,409,109,143,53,54
Sugargraze,4,2,650,231,181,36,93,25,27
Sugargraze,5,1,918,287,311,70,121,15,33
Sugargraze,5,2,396,162,89,40,65,13,14
Sugargraze,6,1,552,200,165,52,78,13,19
Sugargraze,6,2,394,161,95,35,56,16,13
Sugargraze,6,3,436,175,111,31,54,12,9
Sugargraze,7,1,970,334,353,88,107,32,36
Sugargraze,7,2,463,167,146,48,56,16,19
Sugargraze,7,3,369,150,98,39,50,14,13
Sugargraze,8,1,381,172,59,50,60,9,13
Sugargraze,9,1,634,223,200,68,87,21,28
Sugargraze,10,1,933,309,346,86,111,34,38
Sugargraze,11,1,583,206,197,58,68,24,22
Sugargraze,12,1,601,209,175,68,78,23,34
Sugargraze,12,2,996,344,330,107,124,30,47
Sugargraze,13,1,515,183,126,61,64,30,39
Sugargraze,13,2,968,341,294,101,108,38,58
Sugargraze,14,1,418,169,86,54,67,17,30
Sugargraze,14,2,957,346,315,98,114,30,38
Sugargraze,14,3,857,327,310,85,126,,
Sugargraze,14,4,491,169,146,52,57,15,25
Sugargraze,14,5,354,138,94,36,52,10,12
Sugargraze,14,6,313,140,52,39,57,8,10
Sugargraze,15,1,137,86,,19,27,,
Sugargraze,15,2,949,299,354,90,117,30,39
Sugargraze,16,1,759,270,227,86,92,24,38
Sugargraze,16,2,921,311,315,102,111,22,34
Sugargraze,17,1,808,306,273,75,81,29,32
Sugargraze,18,1,631,199,226,64,77,20,20
Sugargraze,19,1,408,163,115,46,51,11,14
Sugargraze,19,2,887,308,316,77,105,26,33
Sugargraze,19,3,1019,363,358,100,112,29,44
Sugargraze,19,4,544,196,164,60,80,19,28
Sugargraze,19,5,313,115,86,34,50,10,14
Sugargraze,20,1,391,161,109,40,50,13,13
Sugargraze,20,2,212,108,19,29,37,6,4
Sugargraze,20,3,596,208,213,55,68,20,21
Sugargraze,20,4,1106,372,436,94,117,34,35
Sugargraze,21,1,971,363,342,78,105,23,35
Sugargraze,21,2,496,191,136,50,72,15,26
Sugargraze,21,3,502,192,142,50,62,11,21
Sugargraze,22,1,860,291,333,70,68,30,36
Sugargraze,23,1,903,317,341,82,82,25,37
Sugargraze,24,1,857,301,313,84,89,27,30
Sugargraze,24,2,398,160,94,44,69,11,19
Sugargraze,24,3,170,102,,22,41,,
Sugargraze,25,1,867,289,306,93,107,25,35
Sugargraze,26,1,657,232,243,64,66,27,23
Sugargraze,27,1,1397,542,416,141,178,37,46
Sugargraze,27,2,1051,381,341,111,126,29,41
Sugargraze,27,3,1440,575,446,138,168,38,46
Sugargraze,27,4,521,216,137,51,61,24,18
Sugargraze,27,5,596,235,152,70,80,23,23
Sugargraze,28,1,929,305,331,89,99,30,35
Sugargraze,28,2,867,287,298,87,111,24,37
Sugargraze,28,3,481,179,139,52,65,17,15
Sugargraze,28,4,172,83,6,28,44,1,5
Sugargraze,29,1,474,260,48,50,62,12,19
Sugargraze,29,2,958,317,318,103,116,30,53
Sugargraze,29,3,884,290,311,93,108,24,39
Sugargraze,30,1,413,170,93,45,66,14,16
Sugargraze,30,2,1004,347,377,96,96,28,37
Sugargraze,30,3,659,243,246,68,84,,
Sugargraze,31,1,487,177,151,55,58,23,23
Sugargraze,31,2,931,323,316,95,114,33,37
Sugargraze,31,3,616,223,181,72,83,20,30
Sugargraze,32,1,572,217,164,59,66,20,25
Sugargraze,32,2,1052,339,380,106,146,29,40
Sugargraze,33,1,947,342,321,91,120,25,31
Sugargraze,33,2,603,226,194,58,70,22,27
Sugargraze,34,1,1265,456,433,123,123,37,49
Sugargraze,34,2,864,322,281,85,90,33,33
Sugargraze,34,3,628,230,205,60,62,25,27
Sugargraze,35,1,984,352,350,90,109,28,34
Sugargraze,35,2,772,226,271,78,88,26,29
Sugargraze,36,1,742,273,257,72,95,23,21
Sugargraze,36,2,373,160,86,40,55,14,15
Sugargraze,37,1,868,276,364,69,65,32,33
Sugargraze,38,1,827,294,339,57,58,29,33
Sugargraze,39,1,413,168,134,31,40,13,15
Sugargraze,40,1,633,240,237,53,54,21,22
Sugargraze,40,2,361,163,105,31,37,8,12
