"","quality_def","parameter","intercept","slope","ID","slope_direction"
"Q2.fibre_course","Q2","fibre_course",60.7273585050115,-15.6956429054544,"Q2.fibre_course","negative"
"Q2.fibre_W","Q2","fibre_W",62.3379222803441,-12.386969745011,"Q2.fibre_W","negative"
"Q2.fibre_broken","Q2","fibre_broken",63.0408421931794,-9.75441399651426,"Q2.fibre_broken","negative"
"Q2.fine_A","Q2","fine_A",65.9272435857658,-8.99852319756787,"Q2.fine_A","negative"
"Q2.fine_L","Q2","fine_L",66.8058802356372,-7.32690556006443,"Q2.fine_L","negative"
"Q2.fibre_curl","Q2","fibre_curl",64.4187846756476,-6.70345632765258,"Q2.fibre_curl","negative"
"Q2.fibre_L3.L","Q2","fibre_L3.L",66.7550358962739,-3.22469202660192,"Q2.fibre_L3.L","negative"
"Q2.MF.index","Q2","MF.index",65.6604973039095,-3.06751041525199,"Q2.MF.index","negative"
"Q2.fine_cont.A","Q2","fine_cont.A",66.6007191214551,-1.45378142135734,"Q2.fine_cont.A","negative"
"Q2.fine_n","Q2","fine_n",66.4634074624302,-1.42794880241223,"Q2.fine_n","negative"
"Q2.fibre_n","Q2","fibre_n",66.7713009731535,-1.32065372925877,"Q2.fibre_n","negative"
"Q2.fine_cont.L.L","Q2","fine_cont.L.L",66.4982198407894,-0.993443883416938,"Q2.fine_cont.L.L","negative"
"Q2.fine_cont.L","Q2","fine_cont.L",66.5175239551072,-0.889326891619579,"Q2.fine_cont.L","negative"
"Q2.fibre_L.L","Q2","fibre_L.L",66.6335105850674,0.838955826621821,"Q2.fibre_L.L","positive"
"Q2.fibre_A.L","Q2","fibre_A.L",66.7703732118813,2.19183918076901,"Q2.fibre_A.L","positive"
"Q2.fine_cont","Q2","fine_cont",66.366191653936,3.30825239308393,"Q2.fine_cont","positive"
"Q2.fibre_L","Q2","fibre_L",65.8035380555712,5.1044265325643,"Q2.fibre_L","positive"
"Q2.fibre_cont","Q2","fibre_cont",64.0223153777541,8.57408318056901,"Q2.fibre_cont","positive"
"Q2.fibre_kink.cont","Q2","fibre_kink.cont",65.8114857141361,8.66243048675173,"Q2.fibre_kink.cont","positive"
"Q2.fibre_kink.num","Q2","fibre_kink.num",68.0662454251747,8.70923283868178,"Q2.fibre_kink.num","positive"
"Q2.fibre_kink.ang","Q2","fibre_kink.ang",66.1197924722397,9.05719910939142,"Q2.fibre_kink.ang","positive"
