variety,section,0,0.5,1
Sugargraze,Leaf,0.267084457,0.428139975,0.599055509
Sugargraze,Sheath,0.562976587,0.640843467,0.803627771
Sugargraze,Stem(<1m),0,0.488345891,0.661706761
Sugargraze,Stem(>1m),0.516514388,0.728538843,0.77551297
Yemen,Leaf,0.332393792,0.617105646,0.865799687
Yemen,Sheath,0.682320192,0.778263128,0.871510215
Yemen,Stem(<1m),0.069237467,0.385938163,0.72497683
Yemen,Stem(>1m),0.552527042,0.760455431,0.883548743
GreenleafBMR,Leaf,0.485298679,0.784178633,0.632485496
GreenleafBMR,Sheath,0.736229844,0.772209798,0.845442339
GreenleafBMR,Stem,0.491633078,0.666559118,1
Graingrass,Leaf,0.454419179,0.698075233,0.466510708
Graingrass,Sheath,0.770367004,0.732985453,0.893549326
Graingrass,Stem,0.601064979,0.931556917,0.964874908
