"ID","n","se","mean","lower","upper"
"Graingrass-Leaf-H",4,0.25,344.75,343.954388423679,345.545611576321
"Graingrass-Leaf-L",4,1.31497781983829,332.75,328.565153695726,336.934846304274
"Graingrass-Leaf-M",4,0.577350269189626,350,348.162613768963,351.837386231037
"Graingrass-Sheath-H",4,0.912870929175277,312,309.094837284245,314.905162715755
"Graingrass-Sheath-L",4,0.866025403784439,327.5,324.743920653444,330.256079346556
"Graingrass-Sheath-M",4,0.288675134594813,325.5,324.581306884481,326.418693115519
"Graingrass-Stem-H",4,0.912870929175277,331,328.094837284245,333.905162715755
"Graingrass-Stem-L",4,1.10867789130417,347.25,343.721692141069,350.778307858931
"Graingrass-Stem-M",4,1.04083299973307,351.5,348.187604865582,354.812395134418
"GreenleafBMR-Leaf-H",4,1.73205080756888,323,317.487841306889,328.512158693111
"GreenleafBMR-Leaf-L",4,1.10867789130417,321.75,318.221692141069,325.278307858931
"GreenleafBMR-Leaf-M",4,0.478713553878169,329.75,328.226519819171,331.273480180829
"GreenleafBMR-Sheath-H",4,0.478713553878169,327.25,325.726519819171,328.773480180829
"GreenleafBMR-Sheath-L",4,0.645497224367903,359.5,357.445739743239,361.554260256761
"GreenleafBMR-Sheath-M",4,0.645497224367903,356.5,354.445739743239,358.554260256761
"GreenleafBMR-Stem-H",4,1.19023807142381,354.5,350.712131247189,358.287868752811
"GreenleafBMR-Stem-L",4,0.478713553878169,391.75,390.226519819171,393.273480180829
"GreenleafBMR-Stem-M",4,0.707106781186548,381,378.749670636772,383.250329363228
"Sugargraze-Leaf-H",4,0.912870929175277,369,366.094837284245,371.905162715755
"Sugargraze-Leaf-L",4,0.707106781186548,354,351.749670636772,356.250329363228
"Sugargraze-Leaf-M",4,0.957427107756338,355.5,352.453039638342,358.546960361658
"Sugargraze-Sheath-H",4,0.5,361.5,359.908776847358,363.091223152642
"Sugargraze-Sheath-L",4,2.01556443707464,373.75,367.335574404171,380.164425595829
"Sugargraze-Sheath-M",4,0.853912563829966,379.25,376.532469116204,381.967530883796
"Sugargraze-Stem(<1m)-H",4,0.75,337.25,334.863165271037,339.636834728963
"Sugargraze-Stem(<1m)-L",4,1.25830573921179,342.5,338.495509549328,346.504490450672
"Sugargraze-Stem(<1m)-M",4,0.25,349.75,348.954388423679,350.545611576321
"Sugargraze-Stem(>1m)-H",4,1.03077640640442,320.75,317.469609433865,324.030390566135
"Sugargraze-Stem(>1m)-L",4,0.629152869605896,324.25,322.247754774664,326.252245225336
"Sugargraze-Stem(>1m)-M",4,0.629152869605896,325.75,323.747754774664,327.752245225336
"Yemen-Leaf-H",4,0,386,386,386
"Yemen-Leaf-L",4,0.853912563829966,371.25,368.532469116204,373.967530883796
"Yemen-Leaf-M",4,0.25,378.75,377.954388423679,379.545611576321
"Yemen-Sheath-H",4,0.25,374.25,373.454388423679,375.045611576321
"Yemen-Sheath-L",4,1.6583123951777,398.5,393.222509844961,403.777490155039
"Yemen-Sheath-M",4,0.645497224367903,405.5,403.445739743239,407.554260256761
"Yemen-Stem(<1m)-H",4,1.44337567297406,320.5,315.906534422407,325.093465577593
"Yemen-Stem(<1m)-L",4,0.853912563829966,342.25,339.532469116204,344.967530883796
"Yemen-Stem(<1m)-M",4,1.03077640640442,333.75,330.469609433865,337.030390566135
"Yemen-Stem(>1m)-H",4,0.645497224367903,320.5,318.445739743239,322.554260256761
"Yemen-Stem(>1m)-L",4,1.43614066163451,343.75,339.179559457514,348.320440542486
"Yemen-Stem(>1m)-M",4,0.816496580927726,341,338.40154347275,343.59845652725
