"","variety","section","variable","statistic","p"
"1","Graingrass","Leaf","TI_star",0.962363586364377,0.179345652827147
"2","Graingrass","Sheath","TI_star",0.973919932224046,0.458494932951565
"3","Graingrass","Stem","TI_star",0.900240995828225,0.0011069198767894
"4","GreenleafBMR","Leaf","TI_star",0.96435298226469,0.378459874349251
"5","GreenleafBMR","Sheath","TI_star",0.975332069296294,0.553925801533616
"6","GreenleafBMR","Stem","TI_star",0.958059992080242,0.134478769437327
"7","Sugargraze","Leaf","TI_star",0.966721244264849,0.517937289461347
"8","Sugargraze","Sheath","TI_star",0.970138806817566,0.26817849294925
"9","Sugargraze","Stem","TI_star",0.922780975010157,4.11775281362286e-05
"10","Yemen","Leaf","TI_star",0.980222686060816,0.697822362617326
"11","Yemen","Sheath","TI_star",0.97924073852675,0.561270340367299
"12","Yemen","Stem","TI_star",0.952643235752668,0.00213319281705216
